subdomain,ip,source
6474978-clearos.prebuilt-app.bizflycloud.vn,103.56.156.144,rapiddns
a3e0055-cwp.prebuilt-app.bizflycloud.vn,123.30.234.248,rapiddns
3d8d637-redmine.prebuilt-app.bizflycloud.vn,103.107.182.72,hackertarget
beee4a2-nextcloud.prebuilt-app.bizflycloud.vn,103.56.158.73,alienvault
8502120-openvpn.prebuilt-app.bizflycloud.vn,103.107.183.157,crtsh
bigfile01.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
225a09c-nextcloud.prebuilt-app.bizflycloud.vn,103.56.156.233,hackertarget
id12312345678.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
e8ddc55-gitlab.prebuilt-app.bizflycloud.vn,103.56.156.44,rapiddns
b4c9356-nextcloud.prebuilt-app.bizflycloud.vn,103.107.182.63,hackertarget
6092cc6a22ec27b9b8fac370.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
hn-staging.ss-website.bizflycloud.vn,103.107.180.241,alienvault
73d6b.drive.bizflycloud.vn,123.31.11.240,rapiddns
18ecef2-nextcloud.prebuilt-app.bizflycloud.vn,103.107.182.16,hackertarget
c1d30e2-moodle.prebuilt-app.bizflycloud.vn,103.56.158.67,rapiddns
696e896-magento.prebuilt-app.bizflycloud.vn,103.56.156.21,alienvault
75184fd-nextcloud.prebuilt-app.bizflycloud.vn,103.153.72.194,leakix
bizfly-smtp-relay-9.bizflycloud.vn,103.159.60.203,hackertarget
ba67042-jitsi.prebuilt-app.bizflycloud.vn,103.107.182.237,alienvault
9025720-nextcloud.prebuilt-app.bizflycloud.vn,103.107.182.98,rapiddns
dab64e2-magento.prebuilt-app.bizflycloud.vn,103.153.74.186,rapiddns
671de0f-openvpn.prebuilt-app.bizflycloud.vn,103.107.182.184,alienvault
bizfly-smtp-relay-31.bizflycloud.vn,103.153.71.31,hackertarget
bffffd9-cwp.prebuilt-app.bizflycloud.vn,103.56.156.107,alienvault
2dabbd6-moodle.prebuilt-app.bizflycloud.vn,103.148.57.208,hackertarget
5c96ce7-cwp.prebuilt-app.bizflycloud.vn,103.153.73.177,hackertarget
bizfly-smtp-relay-41.bizflycloud.vn,103.159.60.216,hackertarget
883cff4-gitlab.prebuilt-app.bizflycloud.vn,103.56.158.204,alienvault
aabe09d-bigbluebutton.prebuilt-app.bizflycloud.vn,103.56.158.253,hackertarget
a2c909b-openvpn.prebuilt-app.bizflycloud.vn,103.109.43.237,rapiddns
9271f03-cwp.prebuilt-app.bizflycloud.vn,103.56.156.119,alienvault
