Domain,IP,Status
mobxdsp.admicro.vn,192.168.6.136,Die
marketing-dashboard.admicro.vn,222.255.27.27,200
adopt-tagging.admicro.vn,222.255.27.27,503
mdm.admicro.vn,222.255.27.27,503
demosmecrm.admicro.vn,222.255.27.27,503
dspms.admicro.vn,222.255.27.27,503
dspms.admicro.vn,222.255.27.79,503
cmsads.admicro.vn,222.255.27.27,200
adxpcsponsor.admicro.vn,192.168.6.135,Die
adxpcsponsor.admicro.vn,192.168.6.136,Die
contentpopup.admicro.vn,222.255.27.27,503
contentpopup.admicro.vn,222.255.27.129,503
f12.admicro.vn,222.255.27.27,200
pharma.admicro.vn,222.255.27.27,200
kong-dashboard.admicro.vn,222.255.27.27,503
beta.sspapi.admicro.vn,222.255.27.27,400
content-analytics.admicro.vn,222.255.27.27,200
admatic1.admicro.vn,222.255.27.27,503
dev.video-analytics.admicro.vn,222.255.27.27,503
htcontract.admicro.vn,222.255.27.27,200
defaultdsp.admicro.vn,222.255.27.18,404
defaultdsp.admicro.vn,222.255.27.108,404
boxpr.admicro.vn,222.255.27.27,200
boxpr.admicro.vn,222.255.27.38,200
trackingurl.admicro.vn,222.255.27.27,503
testerp.admicro.vn,222.255.27.27,404
bs.admicro.vn,222.255.27.27,200
file.admicro.vn,103.69.195.132,200
testreport.admicro.vn,222.255.27.27,404
micrombdsp.admicro.vn,192.168.6.136,Die
demodatatool.admicro.vn,222.255.27.27,503
citydiscovery.admicro.vn,222.255.27.27,Die
media.e-learning.admicro.vn,103.69.195.206,200
registry.admicro.vn,222.255.27.27,200
app-facebook.admicro.vn,222.255.27.27,503
ssp-tool.admicro.vn,222.255.27.27,200
dev-ssp-tool.admicro.vn,222.255.27.27,200
mas.admicro.vn,222.255.27.27,200
micropcdsp.admicro.vn,192.168.6.230,Die
dev.adnetwork.admicro.vn,222.255.27.27,503
services.admicro.vn,222.255.27.27,503
hrm.admicro.vn,222.255.27.27,200
dev.email-analytics.admicro.vn,222.255.27.27,503
adstool.admicro.vn,222.255.27.27,404
marketingauto.e-learning.admicro.vn,222.255.27.27,503
