Domain,IP,Status
e8598a2-redmine.prebuilt-app.bfcplatform.vn,14.225.29.203,alienvault
4c8a1ae-moodle.prebuilt-app.bfcplatform.vn,14.225.36.252,alienvault
1dd924d-cwp.prebuilt-app.bfcplatform.vn,14.225.44.253,alienvault
4a8b260-openvpn.prebuilt-app.bfcplatform.vn,103.148.57.119,crtsh
644a9b1-cwp.prebuilt-app.bfcplatform.vn,123.31.39.148,crtsh
codegym.ad.bfcplatform.vn,14.225.0.37,rapiddns
665e4bc-openvpn.prebuilt-app.bfcplatform.vn,123.30.234.192,rapiddns
336b59d-openvpn.prebuilt-app.bfcplatform.vn,123.30.234.63,alienvault
e03d97b-owncloud.prebuilt-app.bfcplatform.vn,103.69.193.124,crtsh
cd1f640-gitlab.prebuilt-app.bfcplatform.vn,103.56.157.161,alienvault
88525a8-cwp.prebuilt-app.bfcplatform.vn,103.69.193.70,crtsh
f7a4213-openvpn.prebuilt-app.bfcplatform.vn,103.153.72.173,alienvault
09283c6-magento.prebuilt-app.bfcplatform.vn,14.225.44.207,alienvault
1c50b3a-openvpn.prebuilt-app.bfcplatform.vn,45.124.95.16,rapiddns
200c5f1-magento.prebuilt-app.bfcplatform.vn,103.153.75.60,alienvault
3e7dc5a-moodle.prebuilt-app.bfcplatform.vn,14.225.36.218,alienvault
befad11-cwp.prebuilt-app.bfcplatform.vn,45.124.95.200,crtsh
46c6a92-cwp.prebuilt-app.bfcplatform.vn,103.107.183.67,crtsh
3707c.drive.bfcplatform.vn,14.225.10.54,crtsh
moodle-vp-s3.hn.ss.bfcplatform.vn,103.107.180.241,rapiddns
57ce6.drive.bfcplatform.vn,14.225.10.54,rapiddns
cc11e.drive.bfcplatform.vn,14.225.10.54,alienvault
8d8b9e3-gitlab.prebuilt-app.bfcplatform.vn,103.56.157.239,crtsh
022e1ff-openvpn.prebuilt-app.bfcplatform.vn,103.148.57.113,leakix
186eee9-cwp.prebuilt-app.bfcplatform.vn,123.30.48.249,alienvault
b95d45a-openvpn.prebuilt-app.bfcplatform.vn,45.124.95.160,crtsh
1b9534a-cwp.prebuilt-app.bfcplatform.vn,45.124.95.66,alienvault
31d30e4-cwp.prebuilt-app.bfcplatform.vn,123.30.234.70,alienvault
