Domain,IP,Status
ns6.synerfy.vn..socvui.com,169.62.159.227,Die
ns7.synerfy.vn..socvui.com,123.30.51.247,Die
ns8.synerfy.vn..socvui.com,210.245.87.125,Die
blog.socvui.com,222.255.27.104,503
files.socvui.com,222.255.27.106,Die
static.socvui.com,222.255.27.106,Die
game.socvui.com,103.69.192.88,200
