Domain,IP,Status
wifimkt.bizflycloud.vn,103.107.183.33,Die
transfer.drive.bizflycloud.vn,14.225.10.62,503
test.cc.bizflycloud.vn,103.69.195.64,Die
otp.ss-hn-1.bizflycloud.vn,103.107.180.241,403
webthethao.ss-hn-1.bizflycloud.vn,103.107.180.241,200
keobong.ss-hn-1.bizflycloud.vn,103.107.180.241,200
wido.cc.bizflycloud.vn,123.31.11.29,404
testvnpt.cc.bizflycloud.vn,103.107.181.207,404
mps-private.bizflycloud.vn,10.5.69.3,Die
mps-private-staging.bizflycloud.vn,10.5.69.3,Die
capt-se285.bizflycloud.vn,123.31.11.81,Die
btmh.cc.bizflycloud.vn,123.31.11.29,404
kb.bizflycloud.vn,45.124.93.102,200
webtest.bizflycloud.vn,123.30.151.90,200
webpagetest.bizflycloud.vn,123.30.151.90,200
mail-protection.bizflycloud.vn,123.31.11.244,Die
hapu-backup.bizflycloud.vn,172.31.6.9,Die
bizfly-smtp-t1.bizflycloud.vn,103.159.60.10,Die
bizfly-smtp-t1.bizflycloud.vn,123.31.8.96,Die
bizfly-smtp-t2.bizflycloud.vn,103.159.60.205,Die
bizfly-smtp-t2.bizflycloud.vn,123.31.8.244,Die
bizfly-smtp-relay-1.bizflycloud.vn,103.159.60.10,Die
bizfly-smtp-relay-2.bizflycloud.vn,123.31.8.96,Die
bizfly-smtp-relay-3.bizflycloud.vn,103.159.60.205,Die
bizfly-smtp-relay-4.bizflycloud.vn,123.31.8.244,Die
bizfly-smtp-reserved-1.bizflycloud.vn,103.159.60.122,Die
hn-staging.ss.bizflycloud.vn,123.31.11.119,200
hn-staging.ss-website.bizflycloud.vn,123.31.11.119,Die
backup-staging2.bizflycloud.vn,123.31.11.49,404
smtp-mkt.bizflycloud.vn,123.31.11.62,Die
smtp-mkt.bizflycloud.vn,123.31.11.105,Die
bizfly-smtp-relay-6.bizflycloud.vn,123.31.8.99,Die
bizfly-smtp-relay-8.bizflycloud.vn,123.31.8.163,Die
bizfly-smtp-relay-12.bizflycloud.vn,123.31.8.182,Die
bizfly-smtp-relay-14.bizflycloud.vn,123.31.8.177,Die
api.cdn.bizflycloud.vn,123.31.11.163,200
api.cdn.bizflycloud.vn,45.124.93.75,200
capt-se295.bizflycloud.vn,123.31.11.105,Die
vc-hn.manage.bizflycloud.vn,103.109.43.111,200
