Domain,IP,Status
gcjs.genmonet.com,123.30.151.71,alienvault
gl.genmonet.com,14.225.10.5,alienvault
drjs.genmonet.com,123.30.151.71,leakix
genmonet.com,123.30.151.80,crtsh
